"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","Malta","2004","Total","Number","399.867"
"Total","Malta","2004","Males","Number","198.099"
"Total","Malta","2004","Females","Number","201.768"
"Total","Malta","2005","Total","Number","402.668"
"Total","Malta","2005","Males","Number","199.580"
"Total","Malta","2005","Females","Number","203.088"
"Total","Malta","2006","Total","Number","404.999"
"Total","Malta","2006","Males","Number","200.838"
"Total","Malta","2006","Females","Number","204.161"
"Total","Malta","2007","Total","Number","405.616"
"Total","Malta","2007","Males","Number","201.519"
"Total","Malta","2007","Females","Number","204.097"
"Total","Malta","2008","Total","Number","407.832"
"Total","Malta","2008","Males","Number","202.734"
"Total","Malta","2008","Females","Number","205.098"
"Total","Malta","2009","Total","Number","410.926"
"Total","Malta","2009","Males","Number","204.607"
"Total","Malta","2009","Females","Number","206.319"
"Total","Malta","2010","Total","Number","414.027"
"Total","Malta","2010","Males","Number","206.203"
"Total","Malta","2010","Females","Number","207.824"
"Total","Malta","2011","Total","Number","414.989"
"Total","Malta","2011","Males","Number","206.405"
"Total","Malta","2011","Females","Number","208.584"
"Total","Malta","2012","Total","Number","417.546"
"Total","Malta","2012","Males","Number","207.695"
"Total","Malta","2012","Females","Number","209.851"
"Total","Malta","2013","Total","Number","422.509"
"Total","Malta","2013","Males","Number","210.383"
"Total","Malta","2013","Females","Number","212.126"
"Total","Malta","2014","Total","Number","429.424"
"Total","Malta","2014","Males","Number","214.533"
"Total","Malta","2014","Females","Number","214.891"
"Total","Malta","2015","Total","Number","439.691"
"Total","Malta","2015","Males","Number","220.488"
"Total","Malta","2015","Females","Number","219.203"
"Total","Malta","2016","Total","Number","450.415"
"Total","Malta","2016","Males","Number","226.396"
"Total","Malta","2016","Females","Number","224.019"
"Total","Malta","2017","Total","Number","460.297"
"Total","Malta","2017","Males","Number","231.663"
"Total","Malta","2017","Females","Number","228.634"
"Total","Malta","2018","Total","Number","475.701"
"Total","Malta","2018","Males","Number","240.599"
"Total","Malta","2018","Females","Number","235.102"
"Total","Netherlands","1960","Total","Number","11.417.254"
"Total","Netherlands","1960","Males","Number","5.686.152"
"Total","Netherlands","1960","Females","Number","5.731.102"
"Total","Netherlands","1961","Total","Number","11.556.008"
"Total","Netherlands","1961","Males","Number","5.754.229"
"Total","Netherlands","1961","Females","Number","5.801.779"
"Total","Netherlands","1962","Total","Number","11.721.416"
"Total","Netherlands","1962","Males","Number","5.838.368"
"Total","Netherlands","1962","Females","Number","5.883.048"
"Total","Netherlands","1963","Total","Number","11.889.962"
"Total","Netherlands","1963","Males","Number","5.923.811"
"Total","Netherlands","1963","Females","Number","5.966.151"
"Total","Netherlands","1964","Total","Number","12.041.970"
"Total","Netherlands","1964","Males","Number","6.001.376"
"Total","Netherlands","1964","Females","Number","6.040.594"
"Total","Netherlands","1965","Total","Number","12.212.269"
"Total","Netherlands","1965","Males","Number","6.090.529"
"Total","Netherlands","1965","Females","Number","6.121.740"
"Total","Netherlands","1966","Total","Number","12.377.194"
"Total","Netherlands","1966","Males","Number","6.178.283"
"Total","Netherlands","1966","Females","Number","6.198.911"
"Total","Netherlands","1967","Total","Number","12.535.307"
"Total","Netherlands","1967","Males","Number","6.262.052"
"Total","Netherlands","1967","Females","Number","6.273.255"
"Total","Netherlands","1968","Total","Number","12.661.095"
"Total","Netherlands","1968","Males","Number","6.317.025"
"Total","Netherlands","1968","Females","Number","6.344.070"
"Total","Netherlands","1969","Total","Number","12.798.346"
"Total","Netherlands","1969","Males","Number","6.382.960"
"Total","Netherlands","1969","Females","Number","6.415.386"
"Total","Netherlands","1970","Total","Number","12.957.621"
"Total","Netherlands","1970","Males","Number","6.465.081"
"Total","Netherlands","1970","Females","Number","6.492.540"
"Total","Netherlands","1971","Total","Number","13.119.430"
"Total","Netherlands","1971","Males","Number","6.549.696"
"Total","Netherlands","1971","Females","Number","6.569.734"
"Total","Netherlands","1972","Total","Number","13.269.563"
"Total","Netherlands","1972","Males","Number","6.624.210"
"Total","Netherlands","1972","Females","Number","6.645.353"
"Total","Netherlands","1973","Total","Number","13.387.623"
"Total","Netherlands","1973","Males","Number","6.675.531"
"Total","Netherlands","1973","Females","Number","6.712.092"
"Total","Netherlands","1974","Total","Number","13.491.020"
"Total","Netherlands","1974","Males","Number","6.722.096"
"Total","Netherlands","1974","Females","Number","6.768.924"
"Total","Netherlands","1975","Total","Number","13.599.092"
"Total","Netherlands","1975","Males","Number","6.771.613"
"Total","Netherlands","1975","Females","Number","6.827.479"
"Total","Netherlands","1976","Total","Number","13.733.578"
"Total","Netherlands","1976","Males","Number","6.836.875"
"Total","Netherlands","1976","Females","Number","6.896.703"
"Total","Netherlands","1977","Total","Number","13.814.495"
"Total","Netherlands","1977","Males","Number","6.871.547"
"Total","Netherlands","1977","Females","Number","6.942.948"
"Total","Netherlands","1978","Total","Number","13.897.874"
"Total","Netherlands","1978","Males","Number","6.907.216"
"Total","Netherlands","1978","Females","Number","6.990.658"
"Total","Netherlands","1979","Total","Number","13.985.526"
"Total","Netherlands","1979","Males","Number","6.945.442"
"Total","Netherlands","1979","Females","Number","7.040.084"
"Total","Netherlands","1980","Total","Number","14.091.014"
"Total","Netherlands","1980","Males","Number","6.994.280"
"Total","Netherlands","1980","Females","Number","7.096.734"
"Total","Netherlands","1981","Total","Number","14.208.586"
"Total","Netherlands","1981","Males","Number","7.048.474"
"Total","Netherlands","1981","Females","Number","7.160.112"
"Total","Netherlands","1982","Total","Number","14.285.829"
"Total","Netherlands","1982","Males","Number","7.081.566"
"Total","Netherlands","1982","Females","Number","7.204.263"
"Total","Netherlands","1983","Total","Number","14.339.551"
"Total","Netherlands","1983","Males","Number","7.102.598"
"Total","Netherlands","1983","Females","Number","7.236.953"
"Total","Netherlands","1984","Total","Number","14.394.589"
"Total","Netherlands","1984","Males","Number","7.124.152"
"Total","Netherlands","1984","Females","Number","7.270.437"
"Total","Netherlands","1985","Total","Number","14.453.833"
"Total","Netherlands","1985","Males","Number","7.149.620"
"Total","Netherlands","1985","Females","Number","7.304.213"
"Total","Netherlands","1986","Total","Number","14.529.430"
"Total","Netherlands","1986","Males","Number","7.184.538"
"Total","Netherlands","1986","Females","Number","7.344.892"
"Total","Netherlands","1987","Total","Number","14.615.125"
"Total","Netherlands","1987","Males","Number","7.224.323"
"Total","Netherlands","1987","Females","Number","7.390.802"
"Total","Netherlands","1988","Total","Number","14.714.948"
"Total","Netherlands","1988","Males","Number","7.273.611"
"Total","Netherlands","1988","Females","Number","7.441.337"
"Total","Netherlands","1989","Total","Number","14.805.240"
"Total","Netherlands","1989","Males","Number","7.316.590"
"Total","Netherlands","1989","Females","Number","7.488.650"
"Total","Netherlands","1990","Total","Number","14.892.574"
"Total","Netherlands","1990","Males","Number","7.358.482"
"Total","Netherlands","1990","Females","Number","7.534.092"
"Total","Netherlands","1991","Total","Number","15.010.445"
"Total","Netherlands","1991","Males","Number","7.419.501"
"Total","Netherlands","1991","Females","Number","7.590.944"
"Total","Netherlands","1992","Total","Number","15.129.150"
"Total","Netherlands","1992","Males","Number","7.480.422"
"Total","Netherlands","1992","Females","Number","7.648.728"
"Total","Netherlands","1993","Total","Number","15.239.182"
"Total","Netherlands","1993","Males","Number","7.535.268"
"Total","Netherlands","1993","Females","Number","7.703.914"
"Total","Netherlands","1994","Total","Number","15.341.553"
"Total","Netherlands","1994","Males","Number","7.585.887"
"Total","Netherlands","1994","Females","Number","7.755.666"
"Total","Netherlands","1995","Total","Number","15.424.122"
"Total","Netherlands","1995","Males","Number","7.627.482"
"Total","Netherlands","1995","Females","Number","7.796.640"
"Total","Netherlands","1996","Total","Number","15.493.889"
"Total","Netherlands","1996","Males","Number","7.662.289"
"Total","Netherlands","1996","Females","Number","7.831.600"
"Total","Netherlands","1997","Total","Number","15.567.107"
"Total","Netherlands","1997","Males","Number","7.696.803"
"Total","Netherlands","1997","Females","Number","7.870.304"
"Total","Netherlands","1998","Total","Number","15.654.192"
"Total","Netherlands","1998","Males","Number","7.740.074"
"Total","Netherlands","1998","Females","Number","7.914.118"
"Total","Netherlands","1999","Total","Number","15.760.225"
"Total","Netherlands","1999","Males","Number","7.793.271"
"Total","Netherlands","1999","Females","Number","7.966.954"
"Total","Netherlands","2000","Total","Number","15.863.950"
"Total","Netherlands","2000","Males","Number","7.846.317"
"Total","Netherlands","2000","Females","Number","8.017.633"
"Total","Netherlands","2001","Total","Number","15.987.075"
"Total","Netherlands","2001","Males","Number","7.909.855"
"Total","Netherlands","2001","Females","Number","8.077.220"
"Total","Netherlands","2002","Total","Number","16.105.285"
"Total","Netherlands","2002","Males","Number","7.971.967"
"Total","Netherlands","2002","Females","Number","8.133.318"
"Total","Netherlands","2003","Total","Number","16.192.572"
"Total","Netherlands","2003","Males","Number","8.015.471"
"Total","Netherlands","2003","Females","Number","8.177.101"
"Total","Netherlands","2004","Total","Number","16.258.032"
"Total","Netherlands","2004","Males","Number","8.045.914"
"Total","Netherlands","2004","Females","Number","8.212.118"
"Total","Netherlands","2005","Total","Number","16.305.526"
"Total","Netherlands","2005","Males","Number","8.065.979"
"Total","Netherlands","2005","Females","Number","8.239.547"
"Total","Netherlands","2006","Total","Number","16.334.210"
"Total","Netherlands","2006","Males","Number","8.077.407"
"Total","Netherlands","2006","Females","Number","8.256.803"
"Total","Netherlands","2007","Total","Number","16.357.992"
"Total","Netherlands","2007","Males","Number","8.088.514"
"Total","Netherlands","2007","Females","Number","8.269.478"
"Total","Netherlands","2008","Total","Number","16.405.399"
"Total","Netherlands","2008","Males","Number","8.112.073"
"Total","Netherlands","2008","Females","Number","8.293.326"
"Total","Netherlands","2009","Total","Number","16.485.787"
"Total","Netherlands","2009","Males","Number","8.156.396"
"Total","Netherlands","2009","Females","Number","8.329.391"
"Total","Netherlands","2010","Total","Number","16.574.989"
"Total","Netherlands","2010","Males","Number","8.203.476"
"Total","Netherlands","2010","Females","Number","8.371.513"
"Total","Netherlands","2011","Total","Number","16.655.799"
"Total","Netherlands","2011","Males","Number","8.243.482"
"Total","Netherlands","2011","Females","Number","8.412.317"
"Total","Netherlands","2012","Total","Number","16.730.348"
"Total","Netherlands","2012","Males","Number","8.282.871"
"Total","Netherlands","2012","Females","Number","8.447.477"
"Total","Netherlands","2013","Total","Number","16.779.575"
"Total","Netherlands","2013","Males","Number","8.307.339"
"Total","Netherlands","2013","Females","Number","8.472.236"
"Total","Netherlands","2014","Total","Number","16.829.289"
"Total","Netherlands","2014","Males","Number","8.334.385"
"Total","Netherlands","2014","Females","Number","8.494.904"
"Total","Netherlands","2015","Total","Number","16.900.726"
"Total","Netherlands","2015","Males","Number","8.372.858"
"Total","Netherlands","2015","Females","Number","8.527.868"
"Total","Netherlands","2016","Total","Number","16.979.120"
"Total","Netherlands","2016","Males","Number","8.417.135"
"Total","Netherlands","2016","Females","Number","8.561.985"
"Total","Netherlands","2017","Total","Number","17.081.507"
"Total","Netherlands","2017","Males","Number","8.475.102"
"Total","Netherlands","2017","Females","Number","8.606.405"
"Total","Netherlands","2018","Total","Number","17.181.084"
"Total","Netherlands","2018","Males","Number","8.527.041"
"Total","Netherlands","2018","Females","Number","8.654.043"
"Total","Austria","1960","Total","Number","7.030.385"
"Total","Austria","1960","Males","Number","3.273.218"
"Total","Austria","1960","Females","Number","3.757.167"
"Total","Austria","1961","Total","Number","7.064.693"
"Total","Austria","1961","Males","Number","3.291.596"
"Total","Austria","1961","Females","Number","3.773.097"
"Total","Austria","1962","Total","Number","7.107.904"
"Total","Austria","1962","Males","Number","3.313.774"
"Total","Austria","1962","Females","Number","3.794.130"
"Total","Austria","1963","Total","Number","7.151.824"
"Total","Austria","1963","Males","Number","3.337.633"
"Total","Austria","1963","Females","Number","3.814.191"
"Total","Austria","1964","Total","Number","7.199.798"
"Total","Austria","1964","Males","Number","3.363.383"
"Total","Austria","1964","Females","Number","3.836.415"
"Total","Austria","1965","Total","Number","7.247.804"
"Total","Austria","1965","Males","Number","3.390.044"
"Total","Austria","1965","Females","Number","3.857.760"
"Total","Austria","1966","Total","Number","7.293.973"
"Total","Austria","1966","Males","Number","3.417.414"
"Total","Austria","1966","Females","Number","3.876.559"
"Total","Austria","1967","Total","Number","7.350.159"
"Total","Austria","1967","Males","Number","3.450.360"
"Total","Austria","1967","Females","Number","3.899.799"
"Total","Austria","1968","Total","Number","7.403.837"
"Total","Austria","1968","Males","Number","3.481.478"
"Total","Austria","1968","Females","Number","3.922.359"
"Total","Austria","1969","Total","Number","7.426.968"
"Total","Austria","1969","Males","Number","3.494.277"
"Total","Austria","1969","Females","Number","3.932.691"
"Total","Austria","1970","Total","Number","7.455.142"
"Total","Austria","1970","Males","Number","3.510.844"
"Total","Austria","1970","Females","Number","3.944.298"
"Total","Austria","1971","Total","Number","7.479.030"
"Total","Austria","1971","Males","Number","3.525.203"
"Total","Austria","1971","Females","Number","3.953.827"
"Total","Austria","1972","Total","Number","7.521.933"
"Total","Austria","1972","Males","Number","3.549.863"
"Total","Austria","1972","Females","Number","3.972.070"
"Total","Austria","1973","Total","Number","7.566.469"
"Total","Austria","1973","Males","Number","3.575.804"
"Total","Austria","1973","Females","Number","3.990.665"
"Total","Austria","1974","Total","Number","7.605.760"
"Total","Austria","1974","Males","Number","3.599.383"
"Total","Austria","1974","Females","Number","4.006.377"
"Total","Austria","1975","Total","Number","7.592.316"
"Total","Austria","1975","Males","Number","3.589.013"
"Total","Austria","1975","Females","Number","4.003.303"
"Total","Austria","1976","Total","Number","7.565.489"
"Total","Austria","1976","Males","Number","3.572.603"
"Total","Austria","1976","Females","Number","3.992.886"
"Total","Austria","1977","Total","Number","7.565.561"
"Total","Austria","1977","Males","Number","3.573.124"
"Total","Austria","1977","Females","Number","3.992.437"
"Total","Austria","1978","Total","Number","7.571.299"
"Total","Austria","1978","Males","Number","3.577.044"
"Total","Austria","1978","Females","Number","3.994.255"
"Total","Austria","1979","Total","Number","7.553.310"
"Total","Austria","1979","Males","Number","3.567.947"
"Total","Austria","1979","Females","Number","3.985.363"
"Total","Austria","1980","Total","Number","7.545.539"
"Total","Austria","1980","Males","Number","3.564.180"
"Total","Austria","1980","Females","Number","3.981.359"
"Total","Austria","1981","Total","Number","7.553.326"
"Total","Austria","1981","Males","Number","3.570.172"
"Total","Austria","1981","Females","Number","3.983.154"
"Total","Austria","1982","Total","Number","7.584.094"
"Total","Austria","1982","Males","Number","3.590.286"
"Total","Austria","1982","Females","Number","3.993.808"
"Total","Austria","1983","Total","Number","7.564.185"
"Total","Austria","1983","Males","Number","3.582.589"
"Total","Austria","1983","Females","Number","3.981.596"
"Total","Austria","1984","Total","Number","7.559.635"
"Total","Austria","1984","Males","Number","3.583.422"
"Total","Austria","1984","Females","Number","3.976.213"
"Total","Austria","1985","Total","Number","7.563.233"
"Total","Austria","1985","Males","Number","3.588.116"
"Total","Austria","1985","Females","Number","3.975.117"
"Total","Austria","1986","Total","Number","7.566.736"
"Total","Austria","1986","Males","Number","3.594.380"
"Total","Austria","1986","Females","Number","3.972.356"
"Total","Austria","1987","Total","Number","7.572.852"
"Total","Austria","1987","Males","Number","3.602.199"
"Total","Austria","1987","Females","Number","3.970.653"
"Total","Austria","1988","Total","Number","7.576.319"
"Total","Austria","1988","Males","Number","3.608.710"
"Total","Austria","1988","Females","Number","3.967.609"
"Total","Austria","1989","Total","Number","7.594.315"
"Total","Austria","1989","Males","Number","3.623.136"
"Total","Austria","1989","Females","Number","3.971.179"
"Total","Austria","1990","Total","Number","7.644.818"
"Total","Austria","1990","Males","Number","3.654.915"
"Total","Austria","1990","Females","Number","3.989.903"
"Total","Austria","1991","Total","Number","7.710.882"
"Total","Austria","1991","Males","Number","3.696.200"
"Total","Austria","1991","Females","Number","4.014.682"
"Total","Austria","1992","Total","Number","7.798.899"
"Total","Austria","1992","Males","Number","3.746.551"
"Total","Austria","1992","Females","Number","4.052.348"
"Total","Austria","1993","Total","Number","7.882.519"
"Total","Austria","1993","Males","Number","3.793.245"
"Total","Austria","1993","Females","Number","4.089.274"
"Total","Austria","1994","Total","Number","7.928.746"
"Total","Austria","1994","Males","Number","3.820.889"
"Total","Austria","1994","Females","Number","4.107.857"
"Total","Austria","1995","Total","Number","7.943.489"
"Total","Austria","1995","Males","Number","3.831.200"
"Total","Austria","1995","Females","Number","4.112.289"
"Total","Austria","1996","Total","Number","7.953.067"
"Total","Austria","1996","Males","Number","3.836.950"
"Total","Austria","1996","Females","Number","4.116.117"
"Total","Austria","1997","Total","Number","7.964.966"
"Total","Austria","1997","Males","Number","3.844.019"
"Total","Austria","1997","Females","Number","4.120.947"
"Total","Austria","1998","Total","Number","7.971.116"
"Total","Austria","1998","Males","Number","3.848.305"
"Total","Austria","1998","Females","Number","4.122.811"
"Total","Austria","1999","Total","Number","7.982.461"
"Total","Austria","1999","Males","Number","3.856.029"
"Total","Austria","1999","Females","Number","4.126.432"
"Total","Austria","2000","Total","Number","8.002.186"
"Total","Austria","2000","Males","Number","3.868.331"
"Total","Austria","2000","Females","Number","4.133.855"
"Total","Austria","2001","Total","Number","8.020.946"
"Total","Austria","2001","Males","Number","3.881.104"
"Total","Austria","2001","Females","Number","4.139.842"
"Total","Austria","2002","Total","Number","8.063.640"
"Total","Austria","2002","Males","Number","3.906.734"
"Total","Austria","2002","Females","Number","4.156.906"
"Total","Austria","2003","Total","Number","8.100.273"
"Total","Austria","2003","Males","Number","3.929.599"
"Total","Austria","2003","Females","Number","4.170.674"
"Total","Austria","2004","Total","Number","8.142.573"
"Total","Austria","2004","Males","Number","3.952.600"
"Total","Austria","2004","Females","Number","4.189.973"
"Total","Austria","2005","Total","Number","8.201.359"
"Total","Austria","2005","Males","Number","3.984.866"
"Total","Austria","2005","Females","Number","4.216.493"
"Total","Austria","2006","Total","Number","8.254.298"
"Total","Austria","2006","Males","Number","4.014.344"
"Total","Austria","2006","Females","Number","4.239.954"
"Total","Austria","2007","Total","Number","8.282.984"
"Total","Austria","2007","Males","Number","4.030.062"
"Total","Austria","2007","Females","Number","4.252.922"
"Total","Austria","2008","Total","Number","8.307.989"
"Total","Austria","2008","Males","Number","4.042.489"
"Total","Austria","2008","Females","Number","4.265.500"
"Total","Austria","2009","Total","Number","8.335.003"
"Total","Austria","2009","Males","Number","4.056.935"
"Total","Austria","2009","Females","Number","4.278.068"
"Total","Austria","2010","Total","Number","8.351.643"
"Total","Austria","2010","Males","Number","4.066.201"
"Total","Austria","2010","Females","Number","4.285.442"
"Total","Austria","2011","Total","Number","8.375.164"
"Total","Austria","2011","Males","Number","4.078.871"
"Total","Austria","2011","Females","Number","4.296.293"
"Total","Austria","2012","Total","Number","8.408.121"
"Total","Austria","2012","Males","Number","4.098.144"
"Total","Austria","2012","Females","Number","4.309.977"
"Total","Austria","2013","Total","Number","8.451.860"
"Total","Austria","2013","Males","Number","4.123.622"
"Total","Austria","2013","Females","Number","4.328.238"
"Total","Austria","2014","Total","Number","8.507.786"
"Total","Austria","2014","Males","Number","4.155.339"
"Total","Austria","2014","Females","Number","4.352.447"
"Total","Austria","2015","Total","Number","8.584.926"
"Total","Austria","2015","Males","Number","4.200.397"
"Total","Austria","2015","Females","Number","4.384.529"
"Total","Austria","2016","Total","Number","8.700.471"
"Total","Austria","2016","Males","Number","4.272.553"
"Total","Austria","2016","Females","Number","4.427.918"
"Total","Austria","2017","Total","Number","8.772.865"
"Total","Austria","2017","Males","Number","4.312.441"
"Total","Austria","2017","Females","Number","4.460.424"
"Total","Austria","2018","Total","Number","8.822.267"
"Total","Austria","2018","Males","Number","4.338.518"
"Total","Austria","2018","Females","Number","4.483.749"
"Total","Poland","1960","Total","Number","29.479.900"
"Total","Poland","1960","Males","Number","14.226.100"
"Total","Poland","1960","Females","Number","15.253.800"
"Total","Poland","1961","Total","Number","29.795.000"
"Total","Poland","1961","Males","Number",":"
"Total","Poland","1961","Females","Number",":"
"Total","Poland","1962","Total","Number","30.133.000"
"Total","Poland","1962","Males","Number",":"
"Total","Poland","1962","Females","Number",":"
"Total","Poland","1963","Total","Number","30.484.000"
"Total","Poland","1963","Males","Number",":"
"Total","Poland","1963","Females","Number",":"
"Total","Poland","1964","Total","Number","30.940.000"
"Total","Poland","1964","Males","Number",":"
"Total","Poland","1964","Females","Number",":"
"Total","Poland","1965","Total","Number","31.338.900"
"Total","Poland","1965","Males","Number","15.206.400"
"Total","Poland","1965","Females","Number","16.132.500"
"Total","Poland","1966","Total","Number","31.551.000"
"Total","Poland","1966","Males","Number",":"
"Total","Poland","1966","Females","Number",":"
"Total","Poland","1967","Total","Number","31.811.000"
"Total","Poland","1967","Males","Number",":"
"Total","Poland","1967","Females","Number",":"
"Total","Poland","1968","Total","Number","32.163.310"
"Total","Poland","1968","Males","Number",":"
"Total","Poland","1968","Females","Number",":"
"Total","Poland","1969","Total","Number","32.426.000"
"Total","Poland","1969","Males","Number",":"
"Total","Poland","1969","Females","Number",":"
"Total","Poland","1970","Total","Number","32.670.600"
"Total","Poland","1970","Males","Number","15.877.100"
"Total","Poland","1970","Females","Number","16.793.500"
"Total","Poland","1971","Total","Number","32.658.000"
"Total","Poland","1971","Males","Number",":"
"Total","Poland","1971","Females","Number",":"
"Total","Poland","1972","Total","Number","32.909.000"
"Total","Poland","1972","Males","Number",":"
"Total","Poland","1972","Females","Number",":"
"Total","Poland","1973","Total","Number","33.202.300"
"Total","Poland","1973","Males","Number",":"
"Total","Poland","1973","Females","Number",":"
"Total","Poland","1974","Total","Number","33.512.100"
"Total","Poland","1974","Males","Number",":"
"Total","Poland","1974","Females","Number",":"
"Total","Poland","1975","Total","Number","33.845.698"
"Total","Poland","1975","Males","Number","16.461.242"
"Total","Poland","1975","Females","Number","17.384.456"
"Total","Poland","1976","Total","Number","34.184.700"
"Total","Poland","1976","Males","Number",":"
"Total","Poland","1976","Females","Number",":"
"Total","Poland","1977","Total","Number","34.527.900"
"Total","Poland","1977","Males","Number",":"
"Total","Poland","1977","Females","Number",":"
"Total","Poland","1978","Total","Number","34.850.200"
"Total","Poland","1978","Males","Number",":"
"Total","Poland","1978","Females","Number",":"
"Total","Poland","1979","Total","Number","35.081.000"
"Total","Poland","1979","Males","Number",":"
"Total","Poland","1979","Females","Number",":"
"Total","Poland","1980","Total","Number","35.413.434"
"Total","Poland","1980","Males","Number","17.253.788"
"Total","Poland","1980","Females","Number","18.159.646"
"Total","Poland","1981","Total","Number","35.734.865"
"Total","Poland","1981","Males","Number",":"
"Total","Poland","1981","Females","Number",":"
"Total","Poland","1982","Total","Number","36.062.309"
"Total","Poland","1982","Males","Number",":"
"Total","Poland","1982","Females","Number",":"
"Total","Poland","1983","Total","Number","36.398.652"
"Total","Poland","1983","Males","Number",":"
"Total","Poland","1983","Females","Number",":"
"Total","Poland","1984","Total","Number","36.744.964"
"Total","Poland","1984","Males","Number",":"
"Total","Poland","1984","Females","Number",":"
"Total","Poland","1985","Total","Number","37.063.303"
"Total","Poland","1985","Males","Number","18.073.800"
"Total","Poland","1985","Females","Number","18.989.503"
"Total","Poland","1986","Total","Number","37.340.467"
"Total","Poland","1986","Males","Number",":"
"Total","Poland","1986","Females","Number",":"
"Total","Poland","1987","Total","Number","37.571.771"
"Total","Poland","1987","Males","Number",":"
"Total","Poland","1987","Females","Number",":"
"Total","Poland","1988","Total","Number","37.764.318"
"Total","Poland","1988","Males","Number",":"
"Total","Poland","1988","Females","Number",":"
"Total","Poland","1989","Total","Number","37.884.655"
"Total","Poland","1989","Males","Number",":"
"Total","Poland","1989","Females","Number",":"
"Total","Poland","1990","Total","Number","38.038.403"
"Total","Poland","1990","Males","Number","18.540.495"
"Total","Poland","1990","Females","Number","19.497.908"
"Total","Poland","1991","Total","Number","38.183.160"
"Total","Poland","1991","Males","Number","18.605.952"
"Total","Poland","1991","Females","Number","19.577.208"
"Total","Poland","1992","Total","Number","38.309.226"
"Total","Poland","1992","Males","Number","18.661.328"
"Total","Poland","1992","Females","Number","19.647.898"
"Total","Poland","1993","Total","Number","38.418.108"
"Total","Poland","1993","Males","Number","18.707.978"
"Total","Poland","1993","Females","Number","19.710.130"
"Total","Poland","1994","Total","Number","38.504.707"
"Total","Poland","1994","Males","Number","18.746.308"
"Total","Poland","1994","Females","Number","19.758.399"
"Total","Poland","1995","Total","Number","38.580.597"
"Total","Poland","1995","Males","Number","18.778.040"
"Total","Poland","1995","Females","Number","19.802.557"
"Total","Poland","1996","Total","Number","38.609.399"
"Total","Poland","1996","Males","Number","18.786.030"
"Total","Poland","1996","Females","Number","19.823.369"
"Total","Poland","1997","Total","Number","38.639.341"
"Total","Poland","1997","Males","Number","18.796.699"
"Total","Poland","1997","Females","Number","19.842.642"
"Total","Poland","1998","Total","Number","38.659.979"
"Total","Poland","1998","Males","Number","18.801.164"
"Total","Poland","1998","Females","Number","19.858.815"
"Total","Poland","1999","Total","Number","38.666.983"
"Total","Poland","1999","Males","Number","18.798.257"
"Total","Poland","1999","Females","Number","19.868.726"
"Total","Poland","2000","Total","Number","38.263.303"
"Total","Poland","2000","Males","Number","18.547.799"
"Total","Poland","2000","Females","Number","19.715.504"
"Total","Poland","2001","Total","Number","38.253.955"
"Total","Poland","2001","Males","Number","18.537.339"
"Total","Poland","2001","Females","Number","19.716.616"
"Total","Poland","2002","Total","Number","38.242.197"
"Total","Poland","2002","Males","Number","18.525.163"
"Total","Poland","2002","Females","Number","19.717.034"
"Total","Poland","2003","Total","Number","38.218.531"
"Total","Poland","2003","Males","Number","18.506.749"
"Total","Poland","2003","Females","Number","19.711.782"
"Total","Poland","2004","Total","Number","38.190.608"
"Total","Poland","2004","Males","Number","18.486.430"
"Total","Poland","2004","Females","Number","19.704.178"
"Total","Poland","2005","Total","Number","38.173.835"
"Total","Poland","2005","Males","Number","18.470.253"
"Total","Poland","2005","Females","Number","19.703.582"
"Total","Poland","2006","Total","Number","38.157.055"
"Total","Poland","2006","Males","Number","18.453.855"
"Total","Poland","2006","Females","Number","19.703.200"
"Total","Poland","2007","Total","Number","38.125.479"
"Total","Poland","2007","Males","Number","18.426.775"
"Total","Poland","2007","Females","Number","19.698.704"
"Total","Poland","2008","Total","Number","38.115.641"
"Total","Poland","2008","Males","Number","18.411.501"
"Total","Poland","2008","Females","Number","19.704.140"
"Total","Poland","2009","Total","Number","38.135.876"
"Total","Poland","2009","Males","Number","18.414.926"
"Total","Poland","2009","Females","Number","19.720.950"
"Total","Poland","2010","Total","Number","38.022.869"
"Total","Poland","2010","Males","Number","18.412.237"
"Total","Poland","2010","Females","Number","19.610.632"
"Total","Poland","2011","Total","Number","38.062.718"
"Total","Poland","2011","Males","Number","18.429.700"
"Total","Poland","2011","Females","Number","19.633.018"
"Total","Poland","2012","Total","Number","38.063.792"
"Total","Poland","2012","Males","Number","18.427.296"
"Total","Poland","2012","Females","Number","19.636.496"
"Total","Poland","2013","Total","Number","38.062.535"
"Total","Poland","2013","Males","Number","18.426.093"
"Total","Poland","2013","Females","Number","19.636.442"
"Total","Poland","2014","Total","Number","38.017.856"
"Total","Poland","2014","Males","Number","18.403.964"
"Total","Poland","2014","Females","Number","19.613.892"
"Total","Poland","2015","Total","Number","38.005.614"
"Total","Poland","2015","Males","Number","18.397.163"
"Total","Poland","2015","Females","Number","19.608.451"
"Total","Poland","2016","Total","Number","37.967.209"
"Total","Poland","2016","Males","Number","18.377.040"
"Total","Poland","2016","Females","Number","19.590.169"
"Total","Poland","2017","Total","Number","37.972.964"
"Total","Poland","2017","Males","Number","18.377.837"
"Total","Poland","2017","Females","Number","19.595.127"
"Total","Poland","2018","Total","Number","37.976.687"
"Total","Poland","2018","Males","Number","18.380.299"
"Total","Poland","2018","Females","Number","19.596.388"
"Total","Portugal","1960","Total","Number","8.826.040"
"Total","Portugal","1960","Males","Number","4.222.790"
"Total","Portugal","1960","Females","Number","4.603.250"
