"TAX","GEO","TIME","UNIT","Value"
"Total environmental taxes","Euro area (19 countries)","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,58"
"Total environmental taxes","Euro area (19 countries)","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,75"
"Total environmental taxes","Euro area (19 countries)","2008","Percentage of gross domestic product (GDP)","2,21"
"Total environmental taxes","Euro area (19 countries)","2009","Million euro","212.374,78"
"Total environmental taxes","Euro area (19 countries)","2009","Million units of national currency","212.374,78"
"Total environmental taxes","Euro area (19 countries)","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,81"
"Total environmental taxes","Euro area (19 countries)","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,01"
"Total environmental taxes","Euro area (19 countries)","2009","Percentage of gross domestic product (GDP)","2,28"
"Total environmental taxes","Euro area (19 countries)","2010","Million euro","217.602,41"
"Total environmental taxes","Euro area (19 countries)","2010","Million units of national currency","217.602,41"
"Total environmental taxes","Euro area (19 countries)","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,81"
"Total environmental taxes","Euro area (19 countries)","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6"
"Total environmental taxes","Euro area (19 countries)","2010","Percentage of gross domestic product (GDP)","2,28"
"Total environmental taxes","Euro area (19 countries)","2011","Million euro","229.556,67"
"Total environmental taxes","Euro area (19 countries)","2011","Million units of national currency","229.556,67"
"Total environmental taxes","Euro area (19 countries)","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,89"
"Total environmental taxes","Euro area (19 countries)","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,08"
"Total environmental taxes","Euro area (19 countries)","2011","Percentage of gross domestic product (GDP)","2,34"
"Total environmental taxes","Euro area (19 countries)","2012","Million euro","235.135,02"
"Total environmental taxes","Euro area (19 countries)","2012","Million units of national currency","235.135,02"
"Total environmental taxes","Euro area (19 countries)","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,86"
"Total environmental taxes","Euro area (19 countries)","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,05"
"Total environmental taxes","Euro area (19 countries)","2012","Percentage of gross domestic product (GDP)","2,39"
"Total environmental taxes","Euro area (19 countries)","2013","Million euro","240.129,61"
"Total environmental taxes","Euro area (19 countries)","2013","Million units of national currency","240.129,61"
"Total environmental taxes","Euro area (19 countries)","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,84"
"Total environmental taxes","Euro area (19 countries)","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,03"
"Total environmental taxes","Euro area (19 countries)","2013","Percentage of gross domestic product (GDP)","2,41"
"Total environmental taxes","Euro area (19 countries)","2014","Million euro","245.751,28"
"Total environmental taxes","Euro area (19 countries)","2014","Million units of national currency","245.751,28"
"Total environmental taxes","Euro area (19 countries)","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,84"
"Total environmental taxes","Euro area (19 countries)","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,02"
"Total environmental taxes","Euro area (19 countries)","2014","Percentage of gross domestic product (GDP)","2,42"
"Total environmental taxes","Euro area (19 countries)","2015","Million euro","251.161,16"
"Total environmental taxes","Euro area (19 countries)","2015","Million units of national currency","251.161,16"
"Total environmental taxes","Euro area (19 countries)","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,79"
"Total environmental taxes","Euro area (19 countries)","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,97"
"Total environmental taxes","Euro area (19 countries)","2015","Percentage of gross domestic product (GDP)","2,38"
"Total environmental taxes","Euro area (19 countries)","2016","Million euro","259.857,91"
"Total environmental taxes","Euro area (19 countries)","2016","Million units of national currency","259.857,91"
"Total environmental taxes","Euro area (19 countries)","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,83"
"Total environmental taxes","Euro area (19 countries)","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6"
"Total environmental taxes","Euro area (19 countries)","2016","Percentage of gross domestic product (GDP)","2,4"
"Total environmental taxes","Euro area (19 countries)","2017","Million euro","265.578,91"
"Total environmental taxes","Euro area (19 countries)","2017","Million units of national currency","265.578,91"
"Total environmental taxes","Euro area (19 countries)","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,72"
"Total environmental taxes","Euro area (19 countries)","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,89"
"Total environmental taxes","Euro area (19 countries)","2017","Percentage of gross domestic product (GDP)","2,37"
"Total environmental taxes","Belgium","1995","Million euro","5.303,99"
"Total environmental taxes","Belgium","1995","Million units of national currency","5.068,9"
"Total environmental taxes","Belgium","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,32"
"Total environmental taxes","Belgium","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,58"
"Total environmental taxes","Belgium","1995","Percentage of gross domestic product (GDP)","2,4"
"Total environmental taxes","Belgium","1996","Million euro","5.851,04"
"Total environmental taxes","Belgium","1996","Million units of national currency","5.700"
"Total environmental taxes","Belgium","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,79"
"Total environmental taxes","Belgium","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,07"
"Total environmental taxes","Belgium","1996","Percentage of gross domestic product (GDP)","2,64"
"Total environmental taxes","Belgium","1997","Million euro","5.945,31"
"Total environmental taxes","Belgium","1997","Million units of national currency","5.973,8"
"Total environmental taxes","Belgium","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,74"
"Total environmental taxes","Belgium","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","6,02"
"Total environmental taxes","Belgium","1997","Percentage of gross domestic product (GDP)","2,64"
"Total environmental taxes","Belgium","1998","Million euro","5.985,54"
"Total environmental taxes","Belgium","1998","Million units of national currency","6.027,2"
"Total environmental taxes","Belgium","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,51"
"Total environmental taxes","Belgium","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,78"
"Total environmental taxes","Belgium","1998","Percentage of gross domestic product (GDP)","2,57"
"Total environmental taxes","Belgium","1999","Million euro","6.283,8"
"Total environmental taxes","Belgium","1999","Million units of national currency","6.283,8"
"Total environmental taxes","Belgium","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,54"
"Total environmental taxes","Belgium","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,8"
"Total environmental taxes","Belgium","1999","Percentage of gross domestic product (GDP)","2,57"
"Total environmental taxes","Belgium","2000","Million euro","6.167"
"Total environmental taxes","Belgium","2000","Million units of national currency","6.167"
"Total environmental taxes","Belgium","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,18"
"Total environmental taxes","Belgium","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,43"
"Total environmental taxes","Belgium","2000","Percentage of gross domestic product (GDP)","2,39"
"Total environmental taxes","Belgium","2001","Million euro","6.320,6"
"Total environmental taxes","Belgium","2001","Million units of national currency","6.320,6"
"Total environmental taxes","Belgium","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,16"
"Total environmental taxes","Belgium","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,42"
"Total environmental taxes","Belgium","2001","Percentage of gross domestic product (GDP)","2,38"
"Total environmental taxes","Belgium","2002","Million euro","6.393,1"
"Total environmental taxes","Belgium","2002","Million units of national currency","6.393,1"
"Total environmental taxes","Belgium","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,02"
"Total environmental taxes","Belgium","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,28"
"Total environmental taxes","Belgium","2002","Percentage of gross domestic product (GDP)","2,32"
"Total environmental taxes","Belgium","2003","Million euro","6.729,3"
"Total environmental taxes","Belgium","2003","Million units of national currency","6.729,3"
"Total environmental taxes","Belgium","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,2"
"Total environmental taxes","Belgium","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,47"
"Total environmental taxes","Belgium","2003","Percentage of gross domestic product (GDP)","2,38"
"Total environmental taxes","Belgium","2004","Million euro","7.369,8"
"Total environmental taxes","Belgium","2004","Million units of national currency","7.369,8"
"Total environmental taxes","Belgium","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,39"
"Total environmental taxes","Belgium","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,66"
"Total environmental taxes","Belgium","2004","Percentage of gross domestic product (GDP)","2,47"
"Total environmental taxes","Belgium","2005","Million euro","7.632,9"
"Total environmental taxes","Belgium","2005","Million units of national currency","7.632,9"
"Total environmental taxes","Belgium","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,37"
"Total environmental taxes","Belgium","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,64"
"Total environmental taxes","Belgium","2005","Percentage of gross domestic product (GDP)","2,45"
"Total environmental taxes","Belgium","2006","Million euro","7.401,8"
"Total environmental taxes","Belgium","2006","Million units of national currency","7.401,8"
"Total environmental taxes","Belgium","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,98"
"Total environmental taxes","Belgium","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,24"
"Total environmental taxes","Belgium","2006","Percentage of gross domestic product (GDP)","2,27"
"Total environmental taxes","Belgium","2007","Million euro","7.669,7"
"Total environmental taxes","Belgium","2007","Million units of national currency","7.669,7"
"Total environmental taxes","Belgium","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,92"
"Total environmental taxes","Belgium","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,17"
"Total environmental taxes","Belgium","2007","Percentage of gross domestic product (GDP)","2,22"
"Total environmental taxes","Belgium","2008","Million euro","7.570,2"
"Total environmental taxes","Belgium","2008","Million units of national currency","7.570,2"
"Total environmental taxes","Belgium","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,67"
"Total environmental taxes","Belgium","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,91"
"Total environmental taxes","Belgium","2008","Percentage of gross domestic product (GDP)","2,14"
"Total environmental taxes","Belgium","2009","Million euro","7.606,9"
"Total environmental taxes","Belgium","2009","Million units of national currency","7.606,9"
"Total environmental taxes","Belgium","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,83"
"Total environmental taxes","Belgium","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,11"
