"UNIT","GEO","TIME","NA_ITEM","Value"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014","Gross domestic product at market prices","10.127.005,3"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2015","Gross domestic product at market prices","10.516.353,0"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2016","Gross domestic product at market prices","10.805.998,0"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2017","Gross domestic product at market prices","11.183.783,0"
"Current prices, million euro","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2018","Gross domestic product at market prices","11.543.967,2"
"Current prices, million euro","Euro area (19 countries)","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (19 countries)","1995","Gross domestic product at market prices","5.740.297,4"
"Current prices, million euro","Euro area (19 countries)","1996","Gross domestic product at market prices","5.985.185,6"
"Current prices, million euro","Euro area (19 countries)","1997","Gross domestic product at market prices","6.129.718,6"
"Current prices, million euro","Euro area (19 countries)","1998","Gross domestic product at market prices","6.378.262,5"
"Current prices, million euro","Euro area (19 countries)","1999","Gross domestic product at market prices","6.671.354,5"
"Current prices, million euro","Euro area (19 countries)","2000","Gross domestic product at market prices","7.022.874,6"
"Current prices, million euro","Euro area (19 countries)","2001","Gross domestic product at market prices","7.348.825,0"
"Current prices, million euro","Euro area (19 countries)","2002","Gross domestic product at market prices","7.600.606,1"
"Current prices, million euro","Euro area (19 countries)","2003","Gross domestic product at market prices","7.821.936,5"
"Current prices, million euro","Euro area (19 countries)","2004","Gross domestic product at market prices","8.156.128,3"
"Current prices, million euro","Euro area (19 countries)","2005","Gross domestic product at market prices","8.448.088,1"
"Current prices, million euro","Euro area (19 countries)","2006","Gross domestic product at market prices","8.897.758,6"
"Current prices, million euro","Euro area (19 countries)","2007","Gross domestic product at market prices","9.390.885,5"
"Current prices, million euro","Euro area (19 countries)","2008","Gross domestic product at market prices","9.625.374,9"
"Current prices, million euro","Euro area (19 countries)","2009","Gross domestic product at market prices","9.281.758,0"
"Current prices, million euro","Euro area (19 countries)","2010","Gross domestic product at market prices","9.536.667,1"
"Current prices, million euro","Euro area (19 countries)","2011","Gross domestic product at market prices","9.795.884,9"
"Current prices, million euro","Euro area (19 countries)","2012","Gross domestic product at market prices","9.833.891,8"
"Current prices, million euro","Euro area (19 countries)","2013","Gross domestic product at market prices","9.929.096,5"
"Current prices, million euro","Euro area (19 countries)","2014","Gross domestic product at market prices","10.163.573,6"
"Current prices, million euro","Euro area (19 countries)","2015","Gross domestic product at market prices","10.516.353,0"
"Current prices, million euro","Euro area (19 countries)","2016","Gross domestic product at market prices","10.805.998,0"
"Current prices, million euro","Euro area (19 countries)","2017","Gross domestic product at market prices","11.183.783,0"
"Current prices, million euro","Euro area (19 countries)","2018","Gross domestic product at market prices","11.543.967,2"
"Current prices, million euro","Euro area (12 countries)","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1981","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1982","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1983","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1984","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1985","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1986","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1987","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1988","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1989","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1990","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1991","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1992","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1993","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1994","Gross domestic product at market prices",":"
"Current prices, million euro","Euro area (12 countries)","1995","Gross domestic product at market prices","5.686.109,4"
"Current prices, million euro","Euro area (12 countries)","1996","Gross domestic product at market prices","5.925.319,6"
"Current prices, million euro","Euro area (12 countries)","1997","Gross domestic product at market prices","6.061.203,8"
"Current prices, million euro","Euro area (12 countries)","1998","Gross domestic product at market prices","6.304.006,2"
"Current prices, million euro","Euro area (12 countries)","1999","Gross domestic product at market prices","6.594.242,2"
"Current prices, million euro","Euro area (12 countries)","2000","Gross domestic product at market prices","6.936.189,9"
"Current prices, million euro","Euro area (12 countries)","2001","Gross domestic product at market prices","7.255.541,6"
"Current prices, million euro","Euro area (12 countries)","2002","Gross domestic product at market prices","7.499.403,6"
"Current prices, million euro","Euro area (12 countries)","2003","Gross domestic product at market prices","7.712.102,2"
"Current prices, million euro","Euro area (12 countries)","2004","Gross domestic product at market prices","8.035.310,5"
"Current prices, million euro","Euro area (12 countries)","2005","Gross domestic product at market prices","8.313.445,2"
"Current prices, million euro","Euro area (12 countries)","2006","Gross domestic product at market prices","8.744.237,4"
"Current prices, million euro","Euro area (12 countries)","2007","Gross domestic product at market prices","9.208.255,5"
"Current prices, million euro","Euro area (12 countries)","2008","Gross domestic product at market prices","9.422.743,2"
"Current prices, million euro","Euro area (12 countries)","2009","Gross domestic product at market prices","9.096.837,9"
"Current prices, million euro","Euro area (12 countries)","2010","Gross domestic product at market prices","9.346.294,0"
"Current prices, million euro","Euro area (12 countries)","2011","Gross domestic product at market prices","9.593.491,0"
"Current prices, million euro","Euro area (12 countries)","2012","Gross domestic product at market prices","9.624.935,8"
"Current prices, million euro","Euro area (12 countries)","2013","Gross domestic product at market prices","9.715.966,5"
"Current prices, million euro","Euro area (12 countries)","2014","Gross domestic product at market prices","9.943.487,1"
"Current prices, million euro","Euro area (12 countries)","2015","Gross domestic product at market prices","10.288.553,3"
"Current prices, million euro","Euro area (12 countries)","2016","Gross domestic product at market prices","10.570.003,3"
"Current prices, million euro","Euro area (12 countries)","2017","Gross domestic product at market prices","10.932.152,4"
"Current prices, million euro","Euro area (12 countries)","2018","Gross domestic product at market prices","11.274.657,6"
"Current prices, million euro","Belgium","1975","Gross domestic product at market prices",":"
"Current prices, million euro","Belgium","1976","Gross domestic product at market prices",":"
"Current prices, million euro","Belgium","1977","Gross domestic product at market prices",":"
"Current prices, million euro","Belgium","1978","Gross domestic product at market prices",":"
"Current prices, million euro","Belgium","1979","Gross domestic product at market prices",":"
"Current prices, million euro","Belgium","1980","Gross domestic product at market prices",":"
"Current prices, million euro","Belgium","1981","Gross domestic product at market prices",":"
