"NA_ITEM","GEO","TIME","UNIT","SECTOR","Value"
"Government consolidated gross debt","Euro area (18 countries)","2004","Million euro","General government","5.590.384,8"
"Government consolidated gross debt","Euro area (18 countries)","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2005","Million euro","General government","5.857.091,3"
"Government consolidated gross debt","Euro area (18 countries)","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2006","Million euro","General government","5.999.324,7"
"Government consolidated gross debt","Euro area (18 countries)","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2007","Million euro","General government","6.108.606,5"
"Government consolidated gross debt","Euro area (18 countries)","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2008","Million euro","General government","6.621.807,9"
"Government consolidated gross debt","Euro area (18 countries)","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2009","Million euro","General government","7.356.184,9"
"Government consolidated gross debt","Euro area (18 countries)","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2010","Million euro","General government","8.090.681,4"
"Government consolidated gross debt","Euro area (18 countries)","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2011","Million euro","General government","8.505.948,6"
"Government consolidated gross debt","Euro area (18 countries)","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2012","Million euro","General government","8.837.617,2"
"Government consolidated gross debt","Euro area (18 countries)","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2013","Million euro","General government","9.113.069,9"
"Government consolidated gross debt","Euro area (18 countries)","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2014","Million euro","General government","9.347.735,7"
"Government consolidated gross debt","Euro area (18 countries)","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2015","Million euro","General government","9.473.251,4"
"Government consolidated gross debt","Euro area (18 countries)","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2016","Million euro","General government","9.650.619,3"
"Government consolidated gross debt","Euro area (18 countries)","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2017","Million euro","General government","9.743.925,9"
"Government consolidated gross debt","Euro area (18 countries)","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (18 countries)","2018","Million euro","General government","9.844.096,0"
"Government consolidated gross debt","Euro area (17 countries)","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","1995","Million euro","General government",":"
"Government consolidated gross debt","Euro area (17 countries)","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","1996","Million euro","General government",":"
"Government consolidated gross debt","Euro area (17 countries)","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","1997","Million euro","General government",":"
"Government consolidated gross debt","Euro area (17 countries)","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","1998","Million euro","General government",":"
"Government consolidated gross debt","Euro area (17 countries)","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","1999","Million euro","General government",":"
"Government consolidated gross debt","Euro area (17 countries)","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2000","Million euro","General government","4.787.958,3"
"Government consolidated gross debt","Euro area (17 countries)","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2001","Million euro","General government","4.931.489,8"
"Government consolidated gross debt","Euro area (17 countries)","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2002","Million euro","General government","5.092.572,8"
"Government consolidated gross debt","Euro area (17 countries)","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2003","Million euro","General government","5.334.689,6"
"Government consolidated gross debt","Euro area (17 countries)","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2004","Million euro","General government","5.588.823,1"
"Government consolidated gross debt","Euro area (17 countries)","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2005","Million euro","General government","5.855.524,5"
"Government consolidated gross debt","Euro area (17 countries)","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2006","Million euro","General government","5.997.677,0"
"Government consolidated gross debt","Euro area (17 countries)","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2007","Million euro","General government","6.106.771,9"
"Government consolidated gross debt","Euro area (17 countries)","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2008","Million euro","General government","6.617.415,5"
"Government consolidated gross debt","Euro area (17 countries)","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2009","Million euro","General government","7.349.417,2"
"Government consolidated gross debt","Euro area (17 countries)","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2010","Million euro","General government","8.082.267,2"
"Government consolidated gross debt","Euro area (17 countries)","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2011","Million euro","General government","8.497.152,9"
"Government consolidated gross debt","Euro area (17 countries)","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2012","Million euro","General government","8.828.439,0"
"Government consolidated gross debt","Euro area (17 countries)","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2013","Million euro","General government","9.104.085,5"
"Government consolidated gross debt","Euro area (17 countries)","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2014","Million euro","General government","9.338.067,1"
"Government consolidated gross debt","Euro area (17 countries)","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2015","Million euro","General government","9.464.298,0"
"Government consolidated gross debt","Euro area (17 countries)","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2016","Million euro","General government","9.640.527,7"
"Government consolidated gross debt","Euro area (17 countries)","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2017","Million euro","General government","9.733.119,1"
"Government consolidated gross debt","Euro area (17 countries)","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Euro area (17 countries)","2018","Million euro","General government","9.833.488,1"
"Government consolidated gross debt","Belgium","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","1995","Million euro","General government","287.974,3"
"Government consolidated gross debt","Belgium","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","1996","Million euro","General government","277.987,0"
"Government consolidated gross debt","Belgium","1997","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","1997","Million euro","General government","275.485,5"
"Government consolidated gross debt","Belgium","1998","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","1998","Million euro","General government","277.158,3"
"Government consolidated gross debt","Belgium","1999","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","1999","Million euro","General government","279.434,2"
"Government consolidated gross debt","Belgium","2000","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2000","Million euro","General government","280.866,0"
"Government consolidated gross debt","Belgium","2001","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2001","Million euro","General government","285.965,7"
"Government consolidated gross debt","Belgium","2002","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2002","Million euro","General government","288.024,3"
"Government consolidated gross debt","Belgium","2003","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2003","Million euro","General government","285.784,2"
"Government consolidated gross debt","Belgium","2004","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2004","Million euro","General government","288.327,2"
"Government consolidated gross debt","Belgium","2005","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2005","Million euro","General government","294.900,6"
"Government consolidated gross debt","Belgium","2006","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2006","Million euro","General government","297.424,0"
"Government consolidated gross debt","Belgium","2007","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2007","Million euro","General government","299.996,7"
"Government consolidated gross debt","Belgium","2008","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2008","Million euro","General government","327.620,2"
"Government consolidated gross debt","Belgium","2009","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2009","Million euro","General government","347.165,3"
"Government consolidated gross debt","Belgium","2010","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2010","Million euro","General government","364.078,1"
"Government consolidated gross debt","Belgium","2011","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2011","Million euro","General government","388.934,9"
"Government consolidated gross debt","Belgium","2012","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2012","Million euro","General government","404.289,4"
"Government consolidated gross debt","Belgium","2013","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2013","Million euro","General government","413.730,2"
"Government consolidated gross debt","Belgium","2014","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2014","Million euro","General government","430.185,6"
"Government consolidated gross debt","Belgium","2015","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2015","Million euro","General government","437.176,1"
"Government consolidated gross debt","Belgium","2016","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2016","Million euro","General government","450.544,7"
"Government consolidated gross debt","Belgium","2017","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2017","Million euro","General government","454.112,2"
"Government consolidated gross debt","Belgium","2018","Million euro","Total economy",":"
"Government consolidated gross debt","Belgium","2018","Million euro","General government","459.650,6"
"Government consolidated gross debt","Bulgaria","1995","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","1995","Million euro","General government",":"
"Government consolidated gross debt","Bulgaria","1996","Million euro","Total economy",":"
"Government consolidated gross debt","Bulgaria","1996","Million euro","General government",":"
